id,x,y
28,50.4440,30.5400
30,50.4340,30.4320
43,50.411719,30.618949
47,50.472938,30.508250
108,50.362592,30.442744
109,50.466362,30.474006
902,50.46092940081,30.35800606012
914,50.4916301,30.5913925
915,50.52122915,30.46829796
968,50.416710,30.618716
1004,50.458479,30.6079481
1041,50.44915320000,30.44614510000
1061,50.450707,30.5239053
1062,50.425533,30.45986
1063,50.459541,30.485251
1064,50.456032,30.357967
1065,50.511882,30.49855
1066,50.466859,30.513243
1067,50.505273,30.601165
1068,50.456629,30.60884
1069,50.400115,30.632584
1070,50.428845,30.541823
1071,50.341429,30.55182
1072,50.471899,30.402714
1083,50.46252076931,30.52319258451
1098,50.452,30.446
1105,50.3943448,30.6307648
1107,50.3945599,30.6308639
1115,50.436071,30.620786
1126,50.405669,30.650766
1127,50.3939468,30.6301528
1128,50.3933884,30.6304653
1152,50.436,30.508
1160,50.436,30.508
1161,50.462,30.466
1193,50.43367317586036,30.622780323028568
1208,50.389996,30.529179
1274,50.494958,30.522702
1278,50.404417,30.534111
1290,50.504,30.512
1294,50.4682878,30.5729412
1306,50.505132,30.489238
1330,50.4368579,30.4220790
1331,50.50393,30.617648
1353,50.389926,30.628897
1372,50.452314,30.371420
1373,50.502855,30.495153
1376,50.421359,30.514859
1387,50.4515820,30.5115602
1394,50.4742163,30.4942892
1415,50.388,30.624
1424,50.455080,30.629557
1425,50.513766,30.508991
1437,50.452,30.372
1516,50.43356900000,30.48585800000
1540,50.447179,30.468070
1544,50.404406,30.615846
1549,50.44718539866,30.46885907781
1553,50.470204,30.635226
1556,50.4741679,30.4940567
1651,50.454,30.466
2741,50.504,30.5
2762,50.4421953,30.6332428
2781,50.408617,30.625038
2792,50.474,30.636
2806,50.3623898,30.44271633
2809,50.3937017,30.6306705
2827,50.4187737,30.4949791
2867,50.384087249541615,30.456185031216595
2878,50.398,30.508
2903,50.462,30.524
2924,50.383883,30.496689
2925,50.4003378,30.4966682
2947,50.382794,30.457889
2973,50.3683248,30.6842978
3016,50.402528,30.568056
3018,50.434808,30.510823
3070,50.405094,30.639419
3084,50.398,30.508
3111,50.524731,30.625582
3112,50.524731,30.625582
3231,50.416199,30.635436
3239,50.4003702,30.5166567
3306,50.436484,30.552905
3396,50.526,30.458
3398,50.417128,30.528690
3401,50.3915128,30.6237862
3422,50.471205,30.598600
3432,50.47,30.506
3483,50.45638380232111,30.492838025093082
3492,50.475993,30.501866
3497,50.4139,30.6552
3498,50.456392,30.492954
3504,50.3886,30.6090
3514,50.38262960239,30.458128312603
3535,50.397128,30.455709
3541,50.364,30.4966
3547,50.382998,30.476052
3572,50.409345,30.639613
3573,50.494865,30.428191
3583,50.43741355000,30.47887655913
3600,50.521246,30.496706
3601,50.518,30.486
3603,50.373901,30.59883
3619,50.521,30.587
3620,50.375776,30.622885
3621,50.45253900000,30.47372492016
3622,50.521874,30.496893
3641,50.430997,30.539700
3652,50.466843,30.406230
3653,50.466,30.406
3658,50.39,30.628
3665,50.39064,30.463833
3669,50.504,30.512
3678,50.3888756,30.6235828
3682,50.481248,30.412327
3684,50.3830201,30.6018088
3685,50.3815420,30.6121521
3686,50.3676524,30.5911380
3687,50.358835,30.598940
3688,50.464549,30.358800
3689,50.478416,30.5921968
3690,50.367381,30.611596
3692,50.3642130,30.6022589
3693,50.353010,30.601681
3694,50.353972,30.633746
3702,50.51420044081,30.51115035989
3709,50.4567916,30.4929666
4042,50.38636000000,30.47252500000
4053,50.51543569180,30.50513595343
4063,50.41055498143,30.54316144204
4068,50.518,30.488
4139,50.3942075,30.6432869
4169,50.41590838738,30.46407669783
4191,50.472,30.462
4193,50.3838604,30.4997868
4201,50.3963897,30.4485849
4211,50.438,30.594
4219,50.3611,30.6140
4230,50.464256,30.344959
4232,50.457508,30.519401
4252,50.548593,30.343169
11785,50.4035872,30.5111169
12829,50.514,30.448
12905,50.3863012,30.6242402
12907,50.4561303,30.5891753
12909,50.5251707,30.5025927
12910,50.4384896,30.4687458
12911,50.5150608,30.6010338
12912,50.4196613,30.4341881
12914,50.3908629,30.6481482
12917,50.40037,30.50553
12918,50.4933523,30.5842716
12920,50.4654455,30.625139
12921,50.3894866,30.4660053
12923,50.4340106,30.5060148
12924,50.4386686,30.474562
12925,50.4339664,30.6225023
12926,50.4092813,30.5069193
12927,50.3960801,30.4678111
12928,50.4373856,30.5056924
12929,50.3834444,30.4621169
12930,50.5135833,30.6224566
12931,50.4341051,30.6222227
12932,50.4257355,30.5938198
12933,50.3939239,30.6408271
12934,50.4613643,30.6209789
12935,50.499902,30.513893
12936,50.4143044,30.4731754
12937,50.364357,30.6092953
12938,50.3703831,30.4675993
12939,50.447683,30.470254
12940,50.4948623,30.4583955
12941,50.4395836,30.5481287
12944,50.4591164,30.3480768
12945,50.4801251,30.3991036
12946,50.4634855,30.4896969
12947,50.456462,30.4865818
12948,50.4357961,30.4315798
12951,50.4668187,30.5115555
12952,50.3867469,30.4710779
12954,50.4179423,30.656106
12957,50.4163258,30.4582592
12958,50.3825817,30.4711682
12978,50.4589357,30.5144808
12982,50.3866,30.471757
12989,50.3826586,30.4716442
12991,50.395947,30.629911
12992,50.4165883,30.4580768
13020,50.3840902,30.4735695
13026,50.5256254,30.5178226
13028,50.462,30.624
13055,50.5258776,30.6139634
13141,50.4502758,30.495651
13207,50.4579506,30.4952651
13208,50.4569742,30.4732351
13268,50.4564262,30.4953919
13368,50.442522,30.631247
13388,50.4981084,30.4536792
13407,50.464790,30.611383
13413,50.472750,30.463750
13422,50.4371001,30.6180384
13441,50.526452,30.5964679
13455,50.4463534,30.6014059
13673,50.420443,30.432334
13703,50.4483427,30.4639806
13759,50.5214876,30.5126713
13789,50.5140663,30.5110636
13802,50.4935132,30.5062436
13803,50.4373968,30.5956655
13811,50.4128801,30.6078559
13820,50.49908358179,30.57750999928
13853,50.41821167847,30.46421269421
