ID посту,x,y,ID CAMS
28,50.444,30.54,6563
30,50.434,30.432,6562
43,50.411719,30.618949,6564
47,50.472938,30.50825,6378
108,50.362592,30.442744,6747
109,50.466362,30.474006,6378
902,50.46092940081,30.35800606012,6377
914,50.4916301,30.5913925,6379
915,50.52122915,30.46829796,6193
968,50.41671,30.618716,6564
1004,50.458479,30.6079481,6379
1041,50.4491532,30.4461451,6377
1061,50.450707,30.5239053,6378
1062,50.425533,30.45986,6563
1063,50.459541,30.485251,6378
1064,50.456032,30.357967,6377
1065,50.511882,30.49855,6378
1066,50.466859,30.513243,6378
1067,50.505273,30.601165,6379
1068,50.456629,30.60884,6379
1069,50.400115,30.632584,6564
1070,50.428845,30.541823,6563
1071,50.341429,30.55182,6748
1072,50.471899,30.402714,6377
1083,50.46252076931,30.52319258451,6378
1098,50.452,30.446,6377
1105,50.3943448,30.6307648,6564
1107,50.3945599,30.6308639,6564
1115,50.436071,30.620786,6564
1126,50.405669,30.650766,6564
1127,50.3939468,30.6301528,6564
1128,50.3933884,30.6304653,6564
1152,50.436,30.508,6563
1160,50.436,30.508,6563
1161,50.462,30.466,6378
1193,50.4336731758604,30.6227803230286,6564
1208,50.389996,30.529179,6563
1274,50.494958,30.522702,6378
1278,50.404417,30.534111,6563
1290,50.504,30.512,6378
1294,50.4682878,30.5729412,6379
1306,50.505132,30.489238,6378
1330,50.4368579,30.422079,6562
1331,50.50393,30.617648,6379
1353,50.389926,30.628897,6564
1372,50.452314,30.37142,6377
1373,50.502855,30.495153,6378
1376,50.421359,30.514859,6563
1387,50.451582,30.5115602,6378
1394,50.4742163,30.4942892,6378
1415,50.388,30.624,6564
1424,50.45508,30.629557,6379
1425,50.513766,30.508991,6378
1437,50.452,30.372,6377
1516,50.433569,30.485858,6563
1540,50.447179,30.46807,6378
1544,50.404406,30.615846,6564
1549,50.44718539866,30.46885907781,6378
1553,50.470204,30.635226,6379
1556,50.4741679,30.4940567,6378
1651,50.454,30.466,6378
2741,50.504,30.5,6378
2762,50.4421953,30.6332428,6564
2781,50.408617,30.625038,6564
2792,50.474,30.636,6379
2806,50.3623898,30.44271633,6747
2809,50.3937017,30.6306705,6564
2827,50.4187737,30.4949791,6563
2867,50.3840872495416,30.4561850312166,6563
2878,50.398,30.508,6563
2903,50.462,30.524,6378
2924,50.383883,30.496689,6563
2925,50.4003378,30.4966682,6563
2947,50.382794,30.457889,6563
2973,50.3683248,30.6842978,6749
3016,50.402528,30.568056,6563
3018,50.434808,30.510823,6563
3070,50.405094,30.639419,6564
3084,50.398,30.508,6563
3111,50.524731,30.625582,6194
3112,50.524731,30.625582,6194
3231,50.416199,30.635436,6564
3239,50.4003702,30.5166567,6563
3306,50.436484,30.552905,6563
3396,50.526,30.458,6193
3398,50.417128,30.52869,6563
3401,50.3915128,30.6237862,6564
3422,50.471205,30.5986,6379
3432,50.47,30.506,6378
3483,50.4563838023211,30.4928380250931,6378
3492,50.475993,30.501866,6378
3497,50.4139,30.6552,6564
3498,50.456392,30.492954,6378
3504,50.3886,30.609,6564
3514,50.38262960239,30.458128312603,6563
3535,50.397128,30.455709,6563
3541,50.364,30.4966,6748
3547,50.382998,30.476052,6563
3572,50.409345,30.639613,6564
3573,50.494865,30.428191,6377
3583,50.43741355,30.47887655913,6563
3600,50.521246,30.496706,6193
3601,50.518,30.486,6378
3603,50.373901,30.59883,6749
3619,50.521,30.587,6194
3620,50.375776,30.622885,6564
3621,50.452539,30.47372492016,6378
3622,50.521874,30.496893,6193
3641,50.430997,30.5397,6563
3652,50.466843,30.40623,6377
3653,50.466,30.406,6377
3658,50.39,30.628,6564
3665,50.39064,30.463833,6563
3669,50.504,30.512,6378
3678,50.3888756,30.6235828,6564
3682,50.481248,30.412327,6377
3684,50.3830201,30.6018088,6564
3685,50.381542,30.6121521,6564
3686,50.3676524,30.591138,6749
3687,50.358835,30.59894,6749
3688,50.464549,30.3588,6377
3689,50.478416,30.5921968,6379
3690,50.367381,30.611596,6749
3692,50.364213,30.6022589,6749
3693,50.35301,30.601681,6749
3694,50.353972,30.633746,6749
3702,50.51420044081,30.51115035989,6378
3709,50.4567916,30.4929666,6378
4042,50.38636,30.472525,6563
4053,50.5154356918,30.50513595343,6378
4063,50.41055498143,30.54316144204,6563
4068,50.518,30.488,6378
4139,50.3942075,30.6432869,6564
4169,50.41590838738,30.46407669783,6563
4191,50.472,30.462,6378
4193,50.3838604,30.4997868,6563
4201,50.3963897,30.4485849,6562
4211,50.438,30.594,6564
4219,50.3611,30.614,6749
4230,50.464256,30.344959,6377
4232,50.457508,30.519401,6378
4252,50.548593,30.343169,6192
11785,50.4035872,30.5111169,6563
12829,50.514,30.448,6377
12905,50.3863012,30.6242402,6564
12907,50.4561303,30.5891753,6379
12909,50.5251707,30.5025927,6193
12910,50.4384896,30.4687458,6563
12911,50.5150608,30.6010338,6379
12912,50.4196613,30.4341881,6562
12914,50.3908629,30.6481482,6564
12917,50.40037,30.50553,6563
12918,50.4933523,30.5842716,6379
12920,50.4654455,30.625139,6379
12921,50.3894866,30.4660053,6563
12923,50.4340106,30.5060148,6563
12924,50.4386686,30.474562,6563
12925,50.4339664,30.6225023,6564
12926,50.4092813,30.5069193,6563
12927,50.3960801,30.4678111,6563
12928,50.4373856,30.5056924,6563
12929,50.3834444,30.4621169,6563
12930,50.5135833,30.6224566,6379
12931,50.4341051,30.6222227,6564
12932,50.4257355,30.5938198,6564
12933,50.3939239,30.6408271,6564
12934,50.4613643,30.6209789,6379
12935,50.499902,30.513893,6378
12936,50.4143044,30.4731754,6563
12937,50.364357,30.6092953,6749
12938,50.3703831,30.4675993,6748
12939,50.447683,30.470254,6378
12940,50.4948623,30.4583955,6378
12941,50.4395836,30.5481287,6563
12944,50.4591164,30.3480768,6377
12945,50.4801251,30.3991036,6377
12946,50.4634855,30.4896969,6378
12947,50.456462,30.4865818,6378
12948,50.4357961,30.4315798,6562
12951,50.4668187,30.5115555,6378
12952,50.3867469,30.4710779,6563
12954,50.4179423,30.656106,6564
12957,50.4163258,30.4582592,6563
12958,50.3825817,30.4711682,6563
12978,50.4589357,30.5144808,6378
12982,50.3866,30.471757,6563
12989,50.3826586,30.4716442,6563
12991,50.395947,30.629911,6564
12992,50.4165883,30.4580768,6563
13020,50.3840902,30.4735695,6563
13026,50.5256254,30.5178226,6193
13028,50.462,30.624,6379
13055,50.5258776,30.6139634,6194
13141,50.4502758,30.495651,6378
13207,50.4579506,30.4952651,6378
13208,50.4569742,30.4732351,6378
13268,50.4564262,30.4953919,6378
13368,50.442522,30.631247,6564
13388,50.4981084,30.4536792,6378
13407,50.46479,30.611383,6379
13413,50.47275,30.46375,6378
13422,50.4371001,30.6180384,6564
13441,50.526452,30.5964679,6194
13455,50.4463534,30.6014059,6564
13673,50.420443,30.432334,6562
13703,50.4483427,30.4639806,6378
13759,50.5214876,30.5126713,6193
13789,50.5140663,30.5110636,6378
13802,50.4935132,30.5062436,6378
13803,50.4373968,30.5956655,6564
13811,50.4128801,30.6078559,6564
13820,50.49908358179,30.57750999928,6379
13853,50.41821167847,30.46421269421,6563
